Corte,Repet,Geno,BRIX_Lab,POL_Caldo,POL__Cana,PUREZA,FIBRA,PERFILHO
1,1,CRIOLLA RAYADA,15.6,11.81510661,10.50913067,75.73786287,9.128151659,44
1,3,CRIOLLA RAYADA,14.9,10.61441685,9.383973052,71.23769701,9.487497062,22
1,4,CRIOLLA RAYADA,14.9,10.47345466,9.499538276,70.29164204,7.964676851,41
2,1,CRIOLLA RAYADA,18.3,14.99405331,12.75638838,81.93471754,11.732,17
2,2,CRIOLLA RAYADA,17.5,14.11792194,12.3824945,80.67383966,9.956,7
2,3,CRIOLLA RAYADA,17.4,14.08938408,12.17312807,80.97347173,10.836,10
2,4,CRIOLLA RAYADA,17.1,13.42758426,11.82192467,78.52388458,9.732,18
1,1,WHITE TRANSPARENT,16.3,12.88589492,11.30160323,79.05457004,9.957610514,113
1,2,WHITE TRANSPARENT,19.6,16.99392177,14.91858529,86.70368249,9.902288557,97
1,3,WHITE TRANSPARENT,19,16.3352194,14.27683899,85.97483894,10.16296296,111
1,4,WHITE TRANSPARENT,17.2,14.30419161,12.89521352,83.16390471,8.329082126,130
2,1,WHITE TRANSPARENT,20.9,18.7761522,15.95417307,89.83804881,11.804,103
2,2,WHITE TRANSPARENT,22.1,20.20822709,16.79018191,91.43994157,13.092,90
2,3,WHITE TRANSPARENT,21.3,19.28250058,16.24856621,90.52817176,12.284,114
2,4,WHITE TRANSPARENT,20.4,18.41822582,15.85867898,90.28542067,11.036,169
1,1,SP80-3280,19.5,16.60523932,14.10302448,85.15507344,11.83068323,49
1,2,SP80-3280,20.1,17.48452511,14.63192593,86.9876871,12.68110138,60
1,3,SP80-3280,19.7,17.37985477,14.71675655,88.22261304,12.00361146,67
1,4,SP80-3280,19,16.51520613,13.81416877,86.92213751,12.70839506,85
2,1,SP80-3280,22.5,20.49601585,17.42278262,91.09340376,11.78,79
2,2,SP80-3280,23,21.26934804,17.64458583,92.47542628,13.18,87
2,3,SP80-3280,22.9,21.27579431,18.32920975,92.90739872,11.004,72
2,4,SP80-3280,23.6,21.76759425,18.4576191,92.23556886,11.924,126
1,1,RB72454,18.7,15.93639294,13.53206786,85.22135264,11.84305043,107
1,2,RB72454,18.8,16.59212204,14.66840787,85.96954422,9.488798017,106
1,3,RB72454,19.7,14.64231247,13.54622358,85.12972364,6.773043478,102
1,4,RB72454,18.9,16.42462786,13.7419084,86.90279292,12.69378545,125
2,1,RB72454,22.4,20.41097714,17.00620959,91.12043365,12.932,127
2,2,RB72454,22.5,20.70459411,17.50008549,92.02041826,12.1088,118
2,3,RB72454,21.6,19.86504018,16.72315418,91.96777861,12.34,115
2,4,RB72454,21.6,19.70140496,16.98219516,91.21020814,10.972,141
1,1,TUC71-7,22.5,20.4097076,16.3438371,90.70981156,15.17483871,37
1,2,TUC71-7,21.8,19.75485146,16.85698195,90.61858466,11.55913043,54
1,3,TUC71-7,21.7,19.86885887,17.00010738,91.56156163,11.40263091,22
1,4,TUC71-7,23.7,21.60823711,18.15163011,91.17399624,12.46335518,53
2,1,TUC71-7,23.5,21.52358784,17.59584671,91.5897355,14.012,52
2,2,TUC71-7,23.7,21.71797099,17.91578138,91.63700841,13.5,66
2,3,TUC71-7,22.6,20.64568134,17.11759594,91.35257228,13.212,36
2,4,TUC71-7,22.6,20.64568134,17.35614883,91.35257228,12.42,63
1,1,RB855156,18.6,16.05253034,13.826987,86.30392654,11.01390663,96
1,2,RB855156,21.2,18.8421281,15.95192196,88.87796274,12.01461929,99
1,3,RB855156,21,18.76600381,15.83671592,89.3619229,12.19898734,98
1,4,RB855156,20.8,18.95047872,15.36452765,91.10807077,14.47939394,111
2,1,RB855156,21.8,19.97365292,17.01401429,91.62226108,11.66,105
2,2,RB855156,20.7,20.05968266,17.19139218,96.90667951,11.308,146
2,3,RB855156,22.8,21.30618327,18.12400821,93.44817222,11.74,121
2,4,RB855156,21.2,19.28563759,16.43930588,90.96998863,11.62,147
1,1,KRAKATAU,10.2,5.12791606,3.414570043,50.27368686,24.98360802,165
1,2,KRAKATAU,8.8,3.291460794,2.269996757,37.40296357,23.19438596,199
1,3,KRAKATAU,12.5,7.013963135,4.715548576,56.11170508,24.49714286,201
1,4,KRAKATAU,10.3,4.481089845,2.820358354,43.50572665,27.78412486,325
2,1,KRAKATAU,14.2,9.260461772,6.59528917,65.21451952,21.524,204
2,2,KRAKATAU,13.7,8.829249985,6.551638289,64.44708018,19.348,322
2,3,KRAKATAU,12.5,6.861653152,5.19768068,54.89322522,18.236,249
2,4,KRAKATAU,14,7.386554458,5.603547253,52.76110327,18.156,290
1,1,SES205A,13,7.538250518,5.458692224,57.98654245,20.64896552,410
1,2,SES205A,9.6,4.758673591,3.259452155,49.56951658,23.54672566,354
1,3,SES205A,9.8,2.420474613,1.492724927,24.69872054,28.77419069,438
1,4,SES205A,13.2,8.04017923,5.529643339,60.91044871,23.33714286,393
2,1,SES205A,15.8,12.00516852,9.152980126,75.98207926,17.884,521
2,2,SES205A,18.1,13.32917201,9.742216797,73.64183431,20.156,580
2,3,SES205A,16.8,11.37509514,7.909453924,67.70889963,22.772,602
2,4,SES205A,15.6,10.70044725,8.175028202,68.59261059,17.772,419
1,1,IN84-88,15.8,10.38627332,6.853081086,65.73590708,25.44380048,258
1,2,IN84-88,12,5.749480274,3.909280358,47.91233562,23.92272727,365
1,4,IN84-88,13.7,7.154391718,4.808606536,52.22183735,24.51142526,350
